days_since_purchase,total_spend,subscription_type,churn
40,342.1,0,0
50,143.5,0,0
79,141.6,1,0
16,92.1,1,0
76,383.9,0,0
14,64.6,0,1
64,339.7,0,0
65,182.5,0,0
28,209.0,0,0
22,211.4,0,0
21,1103.7,0,0
44,165.6,0,0
68,160.8,1,0
37,1077.4,1,0
3,101.7,1,0
27,96.5,0,0
26,474.7,0,0
59,452.2,1,0
61,251.1,1,0
47,111.4,0,0
77,47.8,1,0
80,925.9,1,0
28,549.1,1,0
20,860.6,1,0
39,534.9,0,0
47,360.3,0,0
27,210.5,1,0
241,145.4,1,1
103,570.0,0,0
25,182.8,0,0
17,117.4,0,0
23,198.5,1,0
81,771.6,1,0
83,127.9,0,1
104,194.0,0,0
20,241.2,0,0
59,336.4321212121212,1,0
21,155.4,1,0
118,305.8,1,1
20,480.9,0,0
13,940.4,0,0
16,101.5,0,0
41,116.4,0,0
67,171.3,1,0
64,524.5,1,0
17,140.6,1,0
31,297.8,1,0
28,211.5,0,0
14,1292.1,1,0
27,213.8,1,0
101,203.6,1,0
13,403.2,0,0
49,322.9,0,0
102,148.1,0,0
99,807.5,1,0
122,76.0,0,1
52,247.0,0,0
58,261.4,1,1
27,231.2,0,0
12,147.0,0,1
37,235.1,0,0
88,386.6,1,0
3,21.6,0,0
29,230.1,1,0
62,132.7,0,0
42,1031.7,1,0
95,351.9,0,0
82,126.4,0,1
11,220.5,1,0
44,207.0,0,0
22,166.6,0,0
22,370.7,0,0
12,918.1,1,0
50,7.3,0,0
97,256.6,1,1
53,937.2,0,0
11,203.5,0,0
40,309.8,0,0
60,29.2,0,1
38,616.4,0,0
52,99.9,0,0
24,345.8,0,0
35,152.2,1,0
33,14.0,0,0
108,323.4,0,1
17,557.7,1,0
4,241.4,0,0
104,88.9,0,1
46,1376.3,1,0
14,543.0,1,0
77,288.3,0,0
63,716.3,1,0
120,166.5,0,1
48,845.3,0,0
176,423.1,0,1
38,670.8,1,0
63,194.2,0,0
69,97.6,0,1
29,291.5,0,0
29,172.5,0,0
70,910.7,0,0
13,73.7,0,1
22,652.3,0,0
37,51.3,0,0
117,116.7,0,1
70,50.1,0,1
44,166.9,0,0
27,215.8,0,0
148,194.7,1,0
40,345.6,0,0
22,282.2,1,0
167,30.4,0,1
13,111.1,0,0
99,192.6,0,1
42,535.1,0,0
70,277.6,0,0
62,173.9,0,0
69,65.1,0,1
177,286.8,0,1
159,621.7,0,0
23,199.4,0,0
60,121.0,0,1
7,383.7,0,0
75,714.5,1,0
87,221.5,0,0
4,540.5,1,0
41,181.3,0,0
70,429.7,0,1
54,835.7,1,0
13,617.1,1,0
15,372.7,0,0
37,787.5,0,0
29,269.6,1,0
32,484.3,1,0
12,212.9,0,0
43,372.7,0,0
118,418.5,0,0
14,496.1,0,0
35,263.0,0,0
65,41.4,0,1
9,216.3,0,0
43,530.9,1,0
85,321.7,0,0
17,356.7,0,0
46,568.2,1,0
81,126.6,1,0
171,452.8,0,1
44,813.3,0,0
23,192.6,0,0
23,503.2,0,0
11,275.1,0,0
124,349.7,0,1
77,470.3,0,1
15,320.4,0,0
21,183.4,0,1
44,331.0,0,0
84,120.5,0,1
60,66.4,0,1
56,670.5,0,0
49,471.5,1,0
16,421.7,0,0
44,399.3,1,0
40,67.1,1,0
11,639.7,0,0
122,183.7,0,0
25,214.3,0,0
11,588.3,0,0
29,154.5,1,0
34,199.8,0,1
39,188.6,0,0
33,115.7,0,0
41,278.8,0,0
47,130.2,0,0
45,658.4,0,0
56,61.5,0,1
58,111.8,1,0
59,199.6,0,0
70,255.3,0,0
23,148.0,0,0
24,441.9,0,0
85,222.3,0,1
30,377.8,0,0
38,626.6,0,0
35,770.5,0,0
167,203.4,0,1
20,360.2,1,0
19,319.2,0,0
41,208.7,0,0
36,109.1,0,1
15,682.1,1,0
39,109.2,0,0
42,560.5,0,0
27,465.4,1,0
37,403.6,1,0
22,181.5,1,0
15,36.9,0,1
30,515.6,0,0
17,179.4,1,0
12,486.3,1,0
6,388.5,0,0
49,258.4,0,0
29,313.1,0,0
85,460.6,1,0
31,294.5,0,0
49,126.2,0,1
24,62.1,0,0
40,149.1,0,0
6,189.9,0,0
29,649.2,0,0
20,89.6,0,0
79,712.5,0,0
47,868.8,0,0
72,153.6,0,0
91,848.5,0,0
27,230.1,0,0
45,201.6,0,0
16,649.5,0,0
54,302.8,0,1
60,270.5,0,0
52,191.4,1,0
27,158.6,0,0
130,361.0,1,0
42,649.3,0,0
16,117.1,1,0
64,311.5,1,0
81,73.6,0,0
16,140.7,0,0
34,413.6,0,0
11,118.4,0,0
94,704.0,0,0
38,153.2,1,0
20,211.8,1,0
82,41.7,0,1
41,704.8,1,0
74,635.7,1,0
57,75.6,0,0
18,202.7,0,0
27,245.7,1,0
20,176.0,0,0
15,1134.9,1,0
8,174.1,0,0
147,161.0,1,1
51,47.1,0,0
57,129.5,0,1
88,647.9,0,0
26,390.4,1,0
12,391.0,1,0
70,136.4,0,0
14,580.6,0,0
69,492.2,1,0
10,178.1,0,0
13,140.5,1,0
24,240.1,0,0
67,116.2,0,0
119,218.8,0,1
57,280.2,0,0
25,184.2,1,1
78,20.3,0,1
10,346.8,0,0
19,189.0,1,0
44,278.4,0,0
71,226.4,0,0
35,1007.9,1,0
32,256.2,0,0
34,485.6,0,0
87,241.5,1,0
22,118.0,0,0
17,357.8,0,0
33,136.7,0,0
96,555.1,1,0
24,84.2,0,0
34,324.6,0,0
9,326.3,1,0
35,881.0,1,0
49,348.9,0,1
14,229.2,0,0
87,450.3,0,0
49,25.8,1,0
27,380.8,0,0
49,405.1,0,0
59,569.6,1,0
7,541.4,1,0
50,369.6,0,0
93,250.5,1,0
21,284.8,0,0
28,198.2,1,0
31,126.0,0,0
72,199.2,0,0
16,285.5,1,0
57,336.3,0,1
32,607.9,0,0
122,623.2,1,0
33,412.1,1,0
3,557.5,0,0
65,335.5,1,0
55,373.6,0,0
47,193.3,0,1
92,253.1,0,1
8,207.9,0,0
19,73.9,1,0
40,58.2,0,0
45,76.4,0,0
36,318.7,0,0
10,336.4321212121212,1,0
28,556.2,0,0
117,376.4,0,0
15,167.6,0,0
40,122.7,0,0
57,278.2,0,0
70,213.2,1,0
65,90.8,1,0
26,106.9,0,1
19,249.7,1,0
123,784.0,1,0
75,64.5,1,1
42,87.0,0,1
102,205.1,0,1
12,134.6,0,0
3,345.4,0,0
45,272.6,1,0
47,89.1,1,0
11,217.0,1,0
73,287.1,0,0
6,406.2,0,0
53,112.0,1,0
61,391.3,1,0
45,196.2,0,1
9,718.6,1,0
91,219.3,1,0
27,70.3,0,0
27,142.7,0,1
23,38.5,0,1
66,49.4,0,1
26,347.6,0,0
14,415.7,1,0
79,361.5,0,0
39,154.3,0,0
81,109.3,0,1
41,967.7,0,0
21,357.6,1,1
7,98.1,0,0
45,658.9,0,0
31,773.8,1,0
68,388.8,0,0
25,217.6,0,1
54,123.8,0,1
40,174.2,0,0
20,540.5,0,0
27,137.5,0,1
12,83.0,0,0
129,499.4,1,0
53,240.2,0,0
11,142.1,0,0
124,153.2,0,1
15,29.0,0,1
24,210.8,1,0
33,506.8,0,0
40,143.8,1,0
67,1071.6,0,0
5,244.0,0,0
41,64.4,0,0
32,382.1,1,0
46,110.3,0,0
31,390.6,0,0
28,565.0,0,0
36,581.1,1,0
120,439.8,0,0
28,226.8,1,0
88,113.1,0,1
44,358.8,0,0
43,120.9,0,0
46,179.4,0,1
57,125.0,0,0
30,138.4,0,0
84,492.8,1,0
57,131.4,0,1
13,384.1,0,0
3,562.9,0,0
118,158.0,0,1
47,94.7,0,0
11,487.6,0,0
28,307.7,0,0
75,166.7,1,0
35,243.3,1,0
37,326.9,0,0
66,56.2,0,1
51,725.7,0,0
60,460.4,0,0
65,247.8,0,0
22,701.4,0,0
24,813.4,1,0
20,274.3,1,0
25,336.4321212121212,0,0
36,204.7,0,0
38,367.0,0,0
100,450.6,0,0
49,38.3,0,0
37,329.7,0,0
16,426.7,1,0
31,206.4,0,0
123,337.1,1,1
122,47.5,0,1
31,80.6,0,0
8,120.8,0,0
28,481.6,1,0
101,756.0,1,0
36,459.2,1,0
66,270.1,0,0
40,533.9,1,0
10,13.2,0,0
41,549.6,0,0
72,289.3,1,0
25,503.1,0,0
71,392.2,0,1
43,128.1,0,0
68,295.8,0,0
51,138.2,0,0
17,344.0,0,0
32,784.3,0,0
31,448.7,1,0
24,159.9,1,0
48,460.8,0,0
138,117.0,0,1
84,565.7,0,0
92,98.6,0,1
22,515.3,0,0
93,161.8,0,0
114,371.2,0,0
22,464.1,0,0
55,293.2,0,1
56,177.4,0,0
33,392.0,1,0
45,289.3,1,0
58,253.7,0,0
35,73.1,1,0
81,402.8,0,0
13,372.8,1,0
31,54.4,1,0
67,186.8,0,0
129,25.2,0,1
85,258.1,0,1
45,363.2,0,0
36,142.5,0,0
32,133.7,0,0
32,179.0,0,0
7,172.9,1,0
125,146.6,1,0
39,35.0,0,0
21,129.2,0,0
55,58.2,0,0
22,548.2,0,0
76,800.2,1,0
21,348.2,0,0
69,529.6,0,0
32,119.9,0,0
50,360.9,0,0
73,460.4,1,0
26,396.5,1,0
71,174.7,0,0
7,244.1,0,0
108,296.1,0,0
80,378.2,1,0
38,138.6,1,0
90,590.1,0,0
84,259.2,0,1
40,547.6,1,0
40,155.0,0,0
18,447.8,1,0
42,272.8,0,0
10,117.1,0,0
68,247.0,0,1
69,192.4,0,1
7,208.6,0,0
101,616.8,1,0
24,225.7,0,0
215,454.8,0,1
48,368.4,0,0
102,267.7,0,1
18,493.2,0,0
32,466.7,0,0
26,348.6,1,0
10,283.5,0,0
13,496.9,0,0
36,385.0,0,0
53,761.8,1,0
16,288.7,1,0
30,117.3,1,0
22,138.7,0,0
38,38.5,0,0
65,131.0,0,0
44,382.1,0,0
25,224.9,0,0
82,116.2,0,0
52,158.1,0,1
45,305.2,0,0
16,214.4,1,0
76,205.6,0,0
56,60.1,0,0
58,701.8,1,0
34,592.4,0,0
29,158.4,1,0
126,186.8,0,0
29,33.3,0,1
13,662.9,1,0
46,102.3,1,0
40,310.1,1,0
84,100.9,0,0
36,242.7,0,0
63,445.1,0,0
106,366.7,0,1
54,502.0,1,0
17,70.3,0,0
55,304.0,1,0
30,846.0,0,0
49,292.1,0,1
40,249.6,0,0
13,259.5,1,0
36,354.2,1,0
16,314.7,0,0
27,976.2,1,0
76,554.2,1,0
43,336.4321212121212,1,0
61,411.7,0,1
45,130.5,0,0
32,239.2,0,0
49,214.3,1,0
8,510.4,1,0
68,226.2,0,0
20,350.4,1,0
58,277.1,1,0
31,315.3,0,0
13,396.9,0,0
23,771.7,1,0
58,197.7,0,1
153,138.3,1,1
38,327.6,0,0
141,107.5,1,1
8,251.1,1,0
33,81.4,1,0
38,1292.6,0,0
60,706.1,1,0
24,661.9,1,0
52,613.5,0,0
34,613.4,1,0
92,293.4,0,0
46,299.5,0,0
204,574.2,0,1
35,599.9,0,0
88,114.9,0,1
108,287.8,1,0
2,262.7,0,0
68,626.4,1,0
34,131.4,0,0
15,119.3,0,0
93,76.5,0,1
25,217.5,1,0
8,191.4,0,0
47,688.2,0,0
103,578.2,1,0
15,481.7,0,0
74,103.1,0,1
5,211.4,0,0
108,529.4,1,0
54,277.0,0,0
14,467.9,1,1
70,77.8,0,1
26,349.3,1,0
18,549.3,1,0
26,138.3,1,0
65,46.4,0,0
17,133.2,1,0
3,569.2,0,0
27,88.7,0,0
96,253.1,0,0
95,57.9,1,1
26,155.0,1,0
25,376.3,1,0
24,248.8,0,0
23,510.3,0,0
24,434.7,1,0
49,106.4,0,0
98,208.9,0,1
17,177.2,0,0
20,25.0,0,0
53,700.1,0,0
67,257.4,0,0
10,292.5,0,0
122,398.3,0,1
31,522.6,1,0
11,432.0,0,0
9,185.2,0,0
9,218.5,1,0
87,523.6,0,0
43,925.2,1,0
88,57.6,1,1
37,510.8,0,0
86,209.0,0,1
36,307.8,1,0
60,17.3,1,0
39,252.8,0,0
35,157.2,0,1
19,21.7,0,0
66,726.4,1,0
15,290.0,0,0
66,419.7,1,0
44,555.6,0,0
67,407.2,0,0
47,74.5,0,0
93,473.0,0,1
56,56.3,0,1
45,385.4,0,0
3,811.7,0,0
95,504.2,1,1
9,191.5,0,0
12,793.3,0,0
72,336.4321212121212,1,0
42,142.2,1,0
9,191.2,1,0
25,185.9,1,0
92,916.5,0,0
46,383.2,0,1
42,510.8,1,0
23,452.4,1,0
74,305.2,0,0
38,220.9,1,0
64,87.2,0,0
21,326.1,0,0
153,777.6,0,1
103,314.1,0,1
46,594.3,0,0
54,42.8,0,1
25,409.8,1,0
68,161.0,0,1
4,104.2,0,0
121,871.5,1,0
65,232.6,1,0
17,497.4,1,0
119,299.9,1,1
145,96.5,1,1
56,421.0,0,1
21,189.5,0,0
43,465.9,0,0
62,120.1,0,0
52,163.5,0,0
17,484.2,1,0
61,128.9,0,0
91,416.1,0,1
13,33.4,0,0
15,115.0,1,0
24,265.9,0,0
35,511.5,1,0
75,275.2,0,0
90,361.5,0,0
20,180.4,0,1
48,39.2,1,0
88,199.4,0,1
159,264.0,1,1
48,561.0,0,0
50,410.3,0,0
56,124.7,1,0
32,27.1,1,0
46,298.5,1,0
5,208.1,1,0
25,960.9,1,0
60,744.6,0,0
19,96.4,1,0
76,522.1,1,0
7,465.5,1,0
74,348.3,0,0
74,1589.3,1,0
161,235.5,0,1
31,567.4,1,0
42,623.5,1,0
113,327.4,0,1
104,952.4,1,0
84,293.4,0,0
54,462.3,0,0
111,185.3,1,0
198,87.8,0,1
64,481.7,1,0
43,318.2,1,0
70,255.6,0,0
48,195.5,0,0
33,455.3,0,0
76,289.5,0,0
28,1288.5,0,0
63,282.4,0,0
9,339.0,0,0
125,494.9,0,1
21,368.7,0,0
12,119.0,1,0
101,217.7,0,1
114,174.4,1,1
53,355.2,0,0
39,402.8,1,0
32,473.9,0,0
51,519.0,0,0
40,174.2,1,0
37,511.9,0,0
19,736.8,1,0
15,143.4,1,0
45,339.4,0,0
50,638.7,0,0
23,279.5,1,0
25,256.8,0,0
50,337.8,0,0
19,285.5,0,0
86,299.5,0,0
61,404.6,0,0
22,540.7,1,0
59,325.0,1,0
19,1016.9,1,0
74,173.7,1,0
20,464.1,0,0
38,28.9,1,0
47,270.4,0,0
113,16.8,0,1
21,284.3,0,0
20,365.3,0,0
10,259.8,1,0
136,343.6,1,1
43,437.7,0,0
88,2.0,0,1
26,224.9,1,0
28,651.6,0,0
40,89.4,0,0
41,148.0,0,0
68,41.9,1,1
44,226.7,1,0
31,240.0,0,1
137,1193.2,0,0
19,453.2,1,0
21,235.8,1,0
19,57.4,0,0
70,193.8,1,1
58,124.0,0,0
37,25.3,0,0
19,112.6,1,0
46,186.5,0,0
77,209.8,0,0
116,432.1,0,1
25,671.7,0,0
37,267.8,1,0
57,475.0,0,0
31,236.1,1,0
12,114.3,0,0
37,417.0,0,0
14,179.1,0,0
81,167.3,1,0
33,109.2,0,0
40,64.6,1,1
22,263.7,0,0
41,201.8,1,0
98,487.7,0,1
87,1028.4,1,0
16,141.2,1,0
1,90.0,1,0
37,890.9,1,0
33,370.0,1,0
31,276.8,0,0
26,326.1,0,0
15,547.8,0,0
168,708.8,1,1
136,403.0,0,0
30,115.5,1,0
46,38.6,0,0
82,89.7,0,1
46,54.0,0,0
28,569.0,1,0
12,146.2,0,0
42,396.9,0,0
14,253.5,0,0
94,144.3,0,1
41,110.6,0,0
61,135.4,0,1
32,91.4,1,0
75,805.6,0,0
24,231.6,0,0
52,253.7,0,0
31,248.5,0,0
35,429.9,0,0
81,124.4,0,0
22,567.3,0,0
54,193.8,0,0
101,243.8,1,1
79,817.4,1,0
25,159.4,1,0
60,340.7,0,0
7,246.9,0,0
83,143.5,0,0
198,381.6,0,1
52,107.4,1,0
105,142.4,0,1
12,270.0,0,0
17,726.8,0,0
32,887.0,1,0
37,344.5,0,0
52,197.5,0,0
25,28.8,0,0
46,478.6,0,0
81,527.6,0,0
60,341.0,0,0
31,204.9,0,0
70,449.1,0,0
30,241.5,0,1
44,219.3,0,1
78,54.1,0,1
36,562.1,1,0
14,361.1,1,0
44,679.9,0,0
79,152.4,0,0
84,115.4,0,1
16,524.0,0,0
69,784.8,1,0
34,253.2,0,0
109,602.2,1,0
14,193.3,0,0
68,201.9,0,1
31,445.0,1,0
25,259.8,1,0
81,396.7,1,1
90,353.9,1,0
5,92.0,0,0
82,395.1,1,0
39,94.7,0,0
43,569.0,1,0
13,530.2,0,0
65,287.3,1,0
171,730.0,0,1
27,596.1,0,0
95,307.7,0,1
41,263.9,1,0
28,498.8,0,0
11,739.2,0,0
105,326.0,0,1
45,168.5,0,0
29,530.4,1,0
33,251.3,0,0
68,143.6,1,0
29,181.8,0,0
18,528.4,0,0
38,299.7,1,0
37,211.1,1,0
37,616.1,0,0
29,517.7,0,0
98,244.3,1,0
211,848.5,0,1
16,311.2,1,0
4,425.2,1,0
35,350.5,1,0
5,126.4,0,0
10,292.5,1,0
27,248.2,0,0
68,40.7,0,1
34,315.2,0,0
3,473.6,0,0
34,124.6,1,0
36,540.8,1,0
36,711.4,1,0
88,227.8,0,0
78,838.7,0,0
44,309.6,0,0
150,50.2,1,1
27,79.5,0,0
38,416.1,1,0
41,400.7,0,0
11,265.4,0,0
42,398.1,1,1
9,271.4,0,0
24,194.6,1,0
46,353.6,1,0
12,59.1,0,0
53,195.1,0,0
21,381.2,0,0
31,155.5,1,0
60,209.3,0,0
39,286.4,0,0
52,806.2,0,0
58,669.9,1,0
39,56.8,0,0
55,1217.9,1,0
23,838.8,1,0
60,300.4,0,0
35,457.2,0,0
99,175.8,1,0
46,249.1,0,0
26,166.6,1,0
60,397.7,0,0
102,1128.1,0,0
28,242.8,1,0
24,228.9,0,0
1,255.8,0,0
46,195.2,0,0
32,381.7,0,0
60,542.8,0,0
61,161.1,0,0
11,329.3,1,0
78,418.1,0,0
22,153.6,1,0
28,85.3,0,0
53,206.1,1,0
15,433.1,0,0
