user_id,days_since_purchase,total_spend,subscription_type,churn
162,103,216.3,Basic,1
163,9,735.9,Basic,0
164,14,329.4,Basic,0
165,108,283.9,Basic,1
166,39,424.3,Premium,0
167,25,208.4,Basic,0
168,69,153.0,Basic,0
169,47,553.2,Basic,0
170,87,96.7,Basic,1
171,49,135.8,Premium,0
172,50,240.1,Basic,1
173,85,128.3,Basic,0
174,39,57.1,Basic,0
175,19,101.2,Basic,0
176,71,131.5,Basic,1
177,33,442.1,Premium,0
178,52,226.2,Basic,0
179,5,638.0,Premium,0
180,38,96.2,Basic,0
181,27,111.7,Basic,0
182,5,303.7,Basic,0
183,38,191.9,Premium,1
184,40,260.1,Premium,0
185,55,102.4,Basic,0
186,91,124.9,Premium,0
187,82,185.9,Premium,0
188,29,510.5,Basic,0
189,48,76.2,Basic,1
190,60,551.0,Basic,0
191,29,478.1,Basic,1
192,10,227.8,Premium,0
193,35,341.0,Premium,0
194,94,321.7,Basic,0
195,9,411.8,Basic,0
196,17,111.6,Basic,0
197,21,579.0,Premium,0
198,17,361.7,Premium,0
199,69,154.6,Premium,0
200,24,364.6,Premium,0
201,70,117.8,Basic,1
202,43,255.4,Basic,0
203,7,181.7,Basic,0
204,30,378.9,Premium,0
205,83,303.9,Basic,0
206,47,601.8,Basic,0
207,32,395.5,Basic,1
208,95,452.7,Premium,0
209,16,53.7,Basic,0
210,25,499.4,Basic,0
211,78,187.8,Basic,1
212,68,133.2,Premium,0
213,14,1198.3,Premium,0
214,59,147.5,Basic,1
215,24,839.1,Premium,0
216,4,324.6,Basic,0
217,32,376.3,Basic,0
218,141,334.1,Premium,1
219,84,121.8,Basic,0
220,40,556.1,Premium,0
221,9,400.7,Premium,0
222,4,305.0,,0
223,43,274.2,Basic,0
224,56,212.8,Basic,0
225,69,429.9,Basic,0
226,64,369.3,Basic,0
227,68,602.1,Premium,0
228,51,220.2,Basic,0
229,93,268.8,Premium,0
230,27,169.1,Basic,0
231,43,363.9,Premium,0
232,7,56.4,Basic,0
233,26,1216.7,Basic,0
234,83,155.2,Basic,1
235,66,588.1,Basic,0
236,2,239.9,Premium,0
237,148,391.6,Basic,1
238,47,778.0,Basic,0
239,48,376.6,Basic,0
240,25,748.7,Basic,0
241,30,734.6,Premium,0
242,47,,Premium,0
243,64,562.2,Premium,0
244,53,336.1,Basic,0
245,27,144.9,,0
246,19,692.7,Premium,0
247,18,93.4,Basic,0
248,87,662.8,Premium,0
249,80,567.3,Premium,0
250,59,369.6,Premium,0
251,87,161.5,Basic,1
252,38,428.3,Basic,0
253,75,52.0,Premium,0
254,62,137.0,Basic,1
255,77,260.0,Basic,0
256,16,284.5,Basic,0
257,51,181.9,Premium,0
258,31,185.7,Premium,0
259,3,385.0,Basic,0
260,97,117.6,Basic,1
261,80,197.3,Basic,1
262,54,120.9,Premium,0
263,20,270.8,Basic,0
264,7,223.0,Basic,0
265,3,47.0,Premium,0
266,26,99.2,Premium,0
267,68,796.9,Premium,0
268,32,194.8,Premium,0
269,60,342.3,Basic,0
270,62,110.7,Basic,0
271,68,875.7,Premium,0
272,5,68.3,Premium,0
273,22,744.4,Premium,0
274,59,368.9,Premium,0
275,111,420.6,Basic,1
276,91,619.1,Basic,0
277,52,410.4,Premium,0
278,97,792.7,Basic,0
279,52,796.0,Premium,0
280,9,534.8,Premium,0
281,67,712.7,Premium,0
282,93,263.6,Basic,0
283,134,122.7,Basic,1
284,26,1106.2,Basic,0
285,14,277.3,Basic,0
286,76,326.8,Basic,0
287,57,80.1,Basic,0
288,53,644.7,Basic,0
289,98,320.5,Basic,0
290,75,384.8,Basic,0
291,61,422.0,Basic,0
292,28,146.4,Basic,0
293,71,823.1,Premium,0
294,14,345.8,Basic,0
295,52,38.9,Basic,0
296,41,549.7,Basic,0
297,8,318.8,Premium,0
298,57,159.7,Basic,0
299,26,58.7,Basic,1
300,56,197.4,Basic,1
301,18,,Basic,0
302,76,590.5,Basic,0
303,123,169.0,Basic,1
304,14,71.8,Basic,0
305,18,504.0,Premium,0
306,11,793.9,Premium,0
307,35,207.9,Basic,0
308,55,896.4,Basic,0
309,68,708.6,Premium,0
310,51,647.2,Basic,0
311,67,379.9,Basic,0
312,39,350.4,Basic,0
313,25,162.9,Basic,0
314,18,998.0,Premium,0
315,36,890.4,Premium,0
316,19,1012.3,Premium,0
317,54,264.7,Basic,0
318,19,210.7,Basic,0
319,28,458.0,Basic,0
320,87,187.6,Basic,0
321,93,266.9,Basic,0
322,91,57.8,Premium,1
323,40,426.5,Premium,0
324,26,410.5,Basic,0
325,60,854.0,Premium,0
326,19,611.2,Premium,0
327,71,526.1,Basic,0
328,24,857.8,Basic,0
329,35,139.0,Basic,0
330,72,118.6,Basic,1
331,6,311.9,Basic,0
332,25,138.0,Premium,0
333,55,343.9,Basic,0
334,64,109.8,Basic,1
335,56,131.0,Basic,0
336,35,59.5,Basic,1
337,77,421.9,Premium,0
338,18,109.7,Premium,0
339,17,392.7,Basic,0
340,54,439.0,Basic,0
341,16,152.7,Basic,0
342,125,481.7,Basic,1
343,26,445.0,Basic,0
344,76,564.9,Basic,0
345,13,141.9,Basic,0
346,108,137.0,Basic,0
347,42,423.0,Basic,0
348,25,,Basic,0
349,33,330.2,Basic,0
350,22,671.7,Basic,0
351,35,504.6,Basic,0
352,14,579.1,Premium,0
353,26,534.4,Premium,0
354,75,534.7,Basic,0
355,49,236.3,Basic,0
356,17,103.0,Basic,0
357,36,168.5,Basic,0
358,93,151.3,Basic,1
359,29,18.7,Premium,0
360,16,411.6,Basic,0
361,62,212.7,Basic,1
362,4,239.5,Basic,0
363,33,177.0,Basic,0
364,99,267.8,Basic,0
365,35,959.4,Premium,0
366,80,58.4,Basic,1
367,15,1076.8,Premium,0
368,34,418.6,Premium,0
369,31,186.6,Basic,0
370,60,205.0,Basic,1
371,44,129.0,Basic,0
372,108,39.2,Basic,1
373,27,110.5,Basic,0
374,43,349.2,Premium,0
375,32,,Basic,0
376,41,375.7,Basic,0
377,38,231.9,Premium,0
378,19,159.2,Basic,0
379,72,1320.8,Premium,0
380,24,131.9,Basic,0
381,22,139.1,Basic,0
382,9,687.3,Premium,0
383,27,444.3,Basic,0
384,23,256.4,Premium,0
385,5,610.7,Premium,0
386,35,381.0,Premium,0
387,104,179.9,Basic,1
388,11,423.9,Basic,0
389,41,353.8,Premium,0
390,34,54.6,Premium,0
391,65,551.4,Premium,0
392,69,243.2,Basic,0
393,157,699.9,Basic,0
394,50,629.9,Premium,0
395,21,310.0,Basic,0
396,26,262.3,Premium,0
397,28,346.6,Premium,0
398,24,126.2,Basic,0
399,122,402.9,Premium,0
400,66,955.4,Premium,0
401,59,894.9,Basic,0
402,16,777.4,Premium,0
403,68,297.2,Basic,1
404,89,93.3,Premium,0
405,35,254.6,Basic,0
406,26,658.2,Premium,0
407,109,468.4,Basic,0
408,23,236.6,Basic,0
409,21,289.0,Premium,0
410,18,355.1,Basic,0
411,39,278.9,Basic,0
412,50,329.6,Premium,0
413,81,317.6,Premium,0
414,61,654.0,Basic,0
415,60,111.8,Basic,0
416,98,212.3,Basic,1
417,17,221.8,Basic,0
418,10,303.1,Basic,0
419,63,354.2,Premium,0
420,38,336.9,Premium,0
421,81,153.6,Premium,0
422,40,353.8,Premium,0
423,25,416.5,Basic,0
424,64,310.7,Basic,0
425,44,109.9,Basic,0
426,40,289.2,Basic,0
427,176,275.9,Basic,1
428,93,267.7,Premium,0
429,70,313.1,Basic,0
430,45,163.3,Basic,0
431,43,429.1,Basic,0
432,33,1117.4,Premium,0
433,49,454.7,Basic,0
434,28,142.3,Basic,0
435,14,413.2,Basic,0
436,40,631.2,Premium,0
437,52,351.1,Basic,0
438,81,490.0,Premium,0
439,21,330.1,Premium,0
440,43,95.0,Basic,0
441,61,241.1,Basic,0
442,60,162.4,Premium,0
443,118,225.4,Basic,1
444,33,175.5,Basic,0
445,19,153.1,Premium,0
446,45,828.1,Premium,0
447,35,348.8,Premium,0
448,30,234.4,Premium,0
449,27,61.6,Basic,0
450,52,468.7,Basic,0
451,24,413.5,Premium,0
452,70,,Basic,0
453,67,152.7,Basic,0
454,55,784.3,Premium,0
455,17,241.0,Basic,0
456,50,130.7,Basic,0
457,85,197.0,Basic,1
458,73,292.4,Basic,1
459,66,180.5,Basic,1
460,42,98.1,Basic,0
461,41,126.8,Basic,0
462,94,388.3,Basic,0
463,51,147.2,Premium,0
464,52,161.8,Basic,0
465,209,152.0,Premium,1
466,33,323.9,Basic,0
467,4,1242.2,Basic,0
468,36,490.2,Premium,0
469,38,146.8,Basic,0
470,51,420.7,Premium,0
471,59,154.3,Basic,0
472,5,393.0,Premium,0
473,60,687.6,Basic,0
474,40,335.1,Premium,0
475,34,339.9,Basic,0
476,8,345.9,Premium,0
477,107,496.7,Basic,1
478,30,421.4,Basic,0
479,67,265.1,Premium,0
480,21,421.6,Basic,0
481,52,304.1,Basic,0
482,34,248.6,Premium,0
483,65,193.8,Basic,0
484,33,297.6,Basic,0
485,20,336.4,Basic,0
486,41,307.6,Premium,0
487,40,342.1,Basic,0
488,50,143.5,Basic,0
489,79,141.6,Premium,0
490,16,92.1,Premium,0
491,76,383.9,Basic,0
492,14,64.6,Basic,1
493,64,339.7,Basic,0
494,65,182.5,Basic,0
495,28,209.0,Basic,0
496,22,211.4,Basic,0
497,21,1103.7,Basic,0
498,44,165.6,Basic,0
499,68,160.8,Premium,0
500,37,1077.4,Premium,0
501,3,101.7,Premium,0
502,27,96.5,Basic,0
503,26,474.7,Basic,0
504,59,452.2,Premium,0
505,61,251.1,Premium,0
506,47,111.4,Basic,0
507,77,47.8,Premium,0
508,80,925.9,Premium,0
509,28,549.1,Premium,0
510,20,860.6,Premium,0
511,39,534.9,Basic,0
512,47,360.3,Basic,0
513,27,210.5,Premium,0
514,241,145.4,Premium,1
515,103,570.0,Basic,0
516,25,182.8,Basic,0
517,17,117.4,Basic,0
518,23,198.5,Premium,0
519,81,771.6,Premium,0
520,83,127.9,Basic,1
521,104,194.0,Basic,0
522,20,241.2,Basic,0
523,59,,Premium,0
524,21,155.4,Premium,0
525,118,305.8,Premium,1
526,20,480.9,Basic,0
527,13,940.4,Basic,0
528,16,101.5,Basic,0
529,41,116.4,Basic,0
530,67,171.3,Premium,0
531,64,524.5,Premium,0
532,17,140.6,Premium,0
533,31,297.8,Premium,0
534,28,211.5,Basic,0
535,14,1292.1,Premium,0
536,27,213.8,Premium,0
537,101,203.6,Premium,0
538,13,403.2,Basic,0
539,49,322.9,Basic,0
540,102,148.1,Basic,0
541,99,807.5,Premium,0
542,122,76.0,Basic,1
543,52,247.0,Basic,0
544,58,261.4,Premium,1
545,27,231.2,Basic,0
546,12,147.0,Basic,1
547,37,235.1,Basic,0
548,88,386.6,Premium,0
549,3,21.6,Basic,0
550,29,230.1,Premium,0
551,62,132.7,Basic,0
552,42,1031.7,Premium,0
553,95,351.9,Basic,0
554,82,126.4,Basic,1
555,11,220.5,Premium,0
556,44,207.0,Basic,0
557,22,166.6,Basic,0
558,22,370.7,Basic,0
559,12,918.1,Premium,0
560,50,7.3,Basic,0
561,97,256.6,Premium,1
562,53,937.2,Basic,0
563,11,203.5,Basic,0
564,40,309.8,Basic,0
565,60,29.2,Basic,1
566,38,616.4,Basic,0
567,52,99.9,Basic,0
568,24,345.8,Basic,0
569,35,152.2,Premium,0
570,33,14.0,Basic,0
571,108,323.4,Basic,1
572,17,557.7,Premium,0
573,4,241.4,Basic,0
574,104,88.9,Basic,1
575,46,1376.3,Premium,0
576,14,543.0,Premium,0
577,77,288.3,Basic,0
578,63,716.3,Premium,0
579,120,166.5,Basic,1
580,48,845.3,Basic,0
581,176,423.1,Basic,1
582,38,670.8,Premium,0
583,63,194.2,Basic,0
584,69,97.6,Basic,1
585,29,291.5,Basic,0
586,29,172.5,Basic,0
587,70,910.7,Basic,0
588,13,73.7,Basic,1
589,22,652.3,Basic,0
590,37,51.3,Basic,0
591,117,116.7,Basic,1
592,70,50.1,Basic,1
593,44,166.9,Basic,0
594,27,215.8,Basic,0
595,148,194.7,Premium,0
596,40,345.6,Basic,0
597,22,282.2,Premium,0
598,167,30.4,Basic,1
599,13,111.1,Basic,0
600,99,192.6,Basic,1
601,42,535.1,Basic,0
602,70,277.6,Basic,0
603,62,173.9,Basic,0
604,69,65.1,Basic,1
605,177,286.8,Basic,1
606,159,621.7,Basic,0
607,23,199.4,Basic,0
608,60,121.0,Basic,1
609,7,383.7,Basic,0
610,75,714.5,Premium,0
611,87,221.5,Basic,0
612,4,540.5,Premium,0
613,41,181.3,Basic,0
614,70,429.7,Basic,1
615,54,835.7,Premium,0
616,13,617.1,Premium,0
617,15,372.7,Basic,0
618,37,787.5,Basic,0
619,29,269.6,Premium,0
620,32,484.3,Premium,0
621,12,212.9,Basic,0
622,43,372.7,Basic,0
623,118,418.5,Basic,0
624,14,496.1,Basic,0
625,35,263.0,Basic,0
626,65,41.4,Basic,1
627,9,216.3,Basic,0
628,43,530.9,Premium,0
629,85,321.7,Basic,0
630,17,356.7,Basic,0
631,46,568.2,Premium,0
632,81,126.6,Premium,0
633,171,452.8,Basic,1
634,44,813.3,Basic,0
635,23,192.6,Basic,0
636,23,503.2,Basic,0
637,11,275.1,Basic,0
638,124,349.7,Basic,1
639,77,470.3,Basic,1
640,15,320.4,Basic,0
641,21,183.4,Basic,1
642,44,331.0,Basic,0
643,84,120.5,Basic,1
644,60,66.4,Basic,1
645,56,670.5,Basic,0
646,49,471.5,Premium,0
647,16,421.7,Basic,0
648,44,399.3,Premium,0
649,40,67.1,Premium,0
650,11,639.7,Basic,0
651,122,183.7,Basic,0
652,25,214.3,Basic,0
653,11,588.3,Basic,0
654,29,154.5,Premium,0
655,34,199.8,Basic,1
656,39,188.6,Basic,0
657,33,115.7,Basic,0
658,41,278.8,Basic,0
659,47,130.2,Basic,0
660,45,658.4,Basic,0
661,56,61.5,Basic,1
662,58,111.8,Premium,0
663,59,199.6,Basic,0
664,70,255.3,Basic,0
665,23,148.0,Basic,0
666,24,441.9,Basic,0
667,85,222.3,Basic,1
668,30,377.8,Basic,0
669,38,626.6,Basic,0
670,35,770.5,Basic,0
671,167,203.4,Basic,1
672,20,360.2,Premium,0
673,19,319.2,Basic,0
674,41,208.7,Basic,0
675,36,109.1,Basic,1
676,15,682.1,Premium,0
677,39,109.2,Basic,0
678,42,560.5,Basic,0
679,27,465.4,Premium,0
680,37,403.6,Premium,0
681,22,181.5,Premium,0
682,15,36.9,Basic,1
683,30,515.6,Basic,0
684,17,179.4,Premium,0
685,12,486.3,Premium,0
686,6,388.5,Basic,0
687,49,258.4,Basic,0
688,29,313.1,Basic,0
689,85,460.6,Premium,0
690,31,294.5,Basic,0
691,49,126.2,Basic,1
692,24,62.1,Basic,0
693,40,149.1,Basic,0
694,6,189.9,Basic,0
695,29,649.2,Basic,0
696,20,89.6,Basic,0
697,79,712.5,Basic,0
698,47,868.8,Basic,0
699,72,153.6,Basic,0
700,91,848.5,Basic,0
701,27,230.1,Basic,0
702,45,201.6,Basic,0
703,16,649.5,Basic,0
704,54,302.8,Basic,1
705,60,270.5,Basic,0
706,52,191.4,Premium,0
707,27,158.6,Basic,0
708,130,361.0,Premium,0
709,42,649.3,Basic,0
710,16,117.1,Premium,0
711,64,311.5,Premium,0
712,81,73.6,Basic,0
713,16,140.7,Basic,0
714,34,413.6,Basic,0
715,11,118.4,Basic,0
716,94,704.0,,0
717,38,153.2,Premium,0
718,20,211.8,Premium,0
719,82,41.7,Basic,1
720,41,704.8,Premium,0
721,74,635.7,Premium,0
722,57,75.6,Basic,0
723,18,202.7,,0
724,27,245.7,Premium,0
725,20,176.0,Basic,0
726,15,1134.9,Premium,0
727,8,174.1,Basic,0
728,147,161.0,Premium,1
729,51,47.1,Basic,0
730,57,129.5,Basic,1
731,88,647.9,Basic,0
732,26,390.4,Premium,0
733,12,391.0,Premium,0
734,70,136.4,Basic,0
735,14,580.6,Basic,0
736,69,492.2,Premium,0
737,10,178.1,Basic,0
738,13,140.5,Premium,0
739,24,240.1,Basic,0
740,67,116.2,Basic,0
741,119,218.8,Basic,1
742,57,280.2,Basic,0
743,25,184.2,Premium,1
744,78,20.3,Basic,1
745,10,346.8,Basic,0
746,19,189.0,Premium,0
747,44,278.4,Basic,0
748,71,226.4,Basic,0
749,35,1007.9,Premium,0
750,32,256.2,Basic,0
751,34,485.6,Basic,0
752,87,241.5,Premium,0
753,22,118.0,Basic,0
754,17,357.8,Basic,0
755,33,136.7,Basic,0
756,96,555.1,Premium,0
757,24,84.2,Basic,0
758,34,324.6,Basic,0
759,9,326.3,Premium,0
760,35,881.0,Premium,0
761,49,348.9,Basic,1
762,14,229.2,Basic,0
763,87,450.3,Basic,0
764,49,25.8,Premium,0
765,27,380.8,Basic,0
766,49,405.1,Basic,0
767,59,569.6,Premium,0
768,7,541.4,Premium,0
769,50,369.6,Basic,0
770,93,250.5,Premium,0
771,21,284.8,Basic,0
772,28,198.2,Premium,0
773,31,126.0,Basic,0
774,72,199.2,Basic,0
775,16,285.5,Premium,0
776,57,336.3,Basic,1
777,32,607.9,Basic,0
778,122,623.2,Premium,0
779,33,412.1,Premium,0
780,3,557.5,Basic,0
781,65,335.5,Premium,0
782,55,373.6,Basic,0
783,47,193.3,Basic,1
784,92,253.1,Basic,1
785,8,207.9,Basic,0
786,19,73.9,Premium,0
787,40,58.2,Basic,0
788,45,76.4,Basic,0
789,36,318.7,Basic,0
790,10,,Premium,0
791,28,556.2,Basic,0
792,117,376.4,Basic,0
793,15,167.6,Basic,0
794,40,122.7,Basic,0
795,57,278.2,,0
796,70,213.2,Premium,0
797,65,90.8,Premium,0
798,26,106.9,Basic,1
799,19,249.7,Premium,0
800,123,784.0,Premium,0
801,75,64.5,Premium,1
802,42,87.0,Basic,1
803,102,205.1,Basic,1
804,12,134.6,Basic,0
805,3,345.4,Basic,0
806,45,272.6,Premium,0
807,47,89.1,Premium,0
808,11,217.0,Premium,0
809,73,287.1,Basic,0
810,6,406.2,Basic,0
811,53,112.0,Premium,0
812,61,391.3,Premium,0
813,45,196.2,Basic,1
814,9,718.6,Premium,0
815,91,219.3,Premium,0
816,27,70.3,Basic,0
817,27,142.7,Basic,1
818,23,38.5,Basic,1
819,66,49.4,Basic,1
820,26,347.6,Basic,0
821,14,415.7,Premium,0
822,79,361.5,Basic,0
823,39,154.3,Basic,0
824,81,109.3,Basic,1
825,41,967.7,Basic,0
826,21,357.6,Premium,1
827,7,98.1,Basic,0
828,45,658.9,Basic,0
829,31,773.8,Premium,0
830,68,388.8,Basic,0
831,25,217.6,Basic,1
832,54,123.8,Basic,1
833,40,174.2,Basic,0
834,20,540.5,Basic,0
835,27,137.5,Basic,1
836,12,83.0,Basic,0
837,129,499.4,Premium,0
838,53,240.2,Basic,0
839,11,142.1,Basic,0
840,124,153.2,Basic,1
841,15,29.0,Basic,1
842,24,210.8,Premium,0
843,33,506.8,Basic,0
844,40,143.8,Premium,0
845,67,1071.6,Basic,0
846,5,244.0,Basic,0
847,41,64.4,Basic,0
848,32,382.1,Premium,0
849,46,110.3,Basic,0
850,31,390.6,Basic,0
851,28,565.0,Basic,0
852,36,581.1,Premium,0
853,120,439.8,Basic,0
854,28,226.8,Premium,0
855,88,113.1,Basic,1
856,44,358.8,Basic,0
857,43,120.9,Basic,0
858,46,179.4,Basic,1
859,57,125.0,Basic,0
860,30,138.4,Basic,0
861,84,492.8,Premium,0
862,57,131.4,Basic,1
863,13,384.1,Basic,0
864,3,562.9,Basic,0
865,118,158.0,Basic,1
866,47,94.7,Basic,0
867,11,487.6,Basic,0
868,28,307.7,Basic,0
869,75,166.7,Premium,0
870,35,243.3,Premium,0
871,37,326.9,Basic,0
872,66,56.2,Basic,1
873,51,725.7,Basic,0
874,60,460.4,Basic,0
875,65,247.8,Basic,0
876,22,701.4,Basic,0
877,24,813.4,Premium,0
878,20,274.3,Premium,0
879,25,,Basic,0
880,36,204.7,Basic,0
881,38,367.0,Basic,0
882,100,450.6,,0
883,49,38.3,Basic,0
884,37,329.7,Basic,0
885,16,426.7,Premium,0
886,31,206.4,Basic,0
887,123,337.1,Premium,1
888,122,47.5,Basic,1
889,31,80.6,Basic,0
890,8,120.8,Basic,0
891,28,481.6,Premium,0
892,101,756.0,Premium,0
893,36,459.2,Premium,0
894,66,270.1,Basic,0
895,40,533.9,Premium,0
896,10,13.2,Basic,0
897,41,549.6,Basic,0
898,72,289.3,Premium,0
899,25,503.1,Basic,0
900,71,392.2,Basic,1
901,43,128.1,Basic,0
902,68,295.8,Basic,0
903,51,138.2,Basic,0
904,17,344.0,Basic,0
905,32,784.3,Basic,0
906,31,448.7,Premium,0
907,24,159.9,Premium,0
908,48,460.8,Basic,0
909,138,117.0,Basic,1
910,84,565.7,Basic,0
911,92,98.6,Basic,1
912,22,515.3,Basic,0
913,93,161.8,Basic,0
914,114,371.2,Basic,0
915,22,464.1,Basic,0
916,55,293.2,Basic,1
917,56,177.4,Basic,0
918,33,392.0,Premium,0
919,45,289.3,Premium,0
920,58,253.7,Basic,0
921,35,73.1,Premium,0
922,81,402.8,Basic,0
923,13,372.8,Premium,0
924,31,54.4,Premium,0
925,67,186.8,Basic,0
926,129,25.2,Basic,1
927,85,258.1,Basic,1
928,45,363.2,Basic,0
929,36,142.5,Basic,0
930,32,133.7,Basic,0
931,32,179.0,Basic,0
932,7,172.9,Premium,0
933,125,146.6,Premium,0
934,39,35.0,Basic,0
935,21,129.2,Basic,0
936,55,58.2,Basic,0
937,22,548.2,Basic,0
938,76,800.2,Premium,0
939,21,348.2,Basic,0
940,69,529.6,Basic,0
941,32,119.9,Basic,0
942,50,360.9,Basic,0
943,73,460.4,Premium,0
944,26,396.5,Premium,0
945,71,174.7,Basic,0
946,7,244.1,Basic,0
947,108,296.1,Basic,0
948,80,378.2,Premium,0
949,38,138.6,Premium,0
950,90,590.1,Basic,0
951,84,259.2,Basic,1
952,40,547.6,Premium,0
953,40,155.0,Basic,0
954,18,447.8,Premium,0
955,42,272.8,Basic,0
956,10,117.1,Basic,0
957,68,247.0,Basic,1
958,69,192.4,Basic,1
959,7,208.6,Basic,0
960,101,616.8,Premium,0
961,24,225.7,Basic,0
962,215,454.8,Basic,1
963,48,368.4,Basic,0
964,102,267.7,Basic,1
965,18,493.2,Basic,0
966,32,466.7,Basic,0
967,26,348.6,Premium,0
968,10,283.5,Basic,0
969,13,496.9,Basic,0
970,36,385.0,Basic,0
971,53,761.8,Premium,0
972,16,288.7,Premium,0
973,30,117.3,Premium,0
974,22,138.7,Basic,0
975,38,38.5,Basic,0
976,65,131.0,Basic,0
977,44,382.1,Basic,0
978,25,224.9,Basic,0
979,82,116.2,Basic,0
980,52,158.1,Basic,1
981,45,305.2,Basic,0
982,16,214.4,Premium,0
983,76,205.6,Basic,0
984,56,60.1,Basic,0
985,58,701.8,Premium,0
986,34,592.4,Basic,0
987,29,158.4,Premium,0
988,126,186.8,Basic,0
989,29,33.3,Basic,1
990,13,662.9,Premium,0
991,46,102.3,Premium,0
992,40,310.1,Premium,0
993,84,100.9,Basic,0
994,36,242.7,Basic,0
995,63,445.1,Basic,0
996,106,366.7,Basic,1
997,54,502.0,Premium,0
998,17,70.3,Basic,0
